Designator,Mid X,Mid Y,Rotation,Layer
C1,56.0,-98.0,0.0,top
C10,50.5,-81.5,180.0,top
C11,51.0,-69.5,0.0,top
C12,54.0,-66.5,0.0,top
C13,54.0,-69.5,0.0,top
C14,50.5,-83.5,180.0,top
C15,61.0,-63.5,180.0,top
C16,61.0,-66.5,180.0,top
C17,64.5,-83.5,0.0,top
C18,61.0,-69.5,0.0,top
C19,64.5,-81.5,0.0,top
C2,50.0,-98.0,0.0,top
C20,64.0,-69.5,0.0,top
C21,67.0,-69.5,0.0,top
C22,70.0,-69.5,0.0,top
C23,35.25,-72.499999,90.0,top
C24,35.25,-78.499998,90.0,top
C25,35.25,-84.562501,90.0,top
C26,28.75,-72.499999,90.0,top
C27,28.75,-78.499998,90.0,top
C28,28.75,-84.562501,90.0,top
C29,27.018748,-57.999999,0.0,top
C3,51.25,-86.0,90.0,top
C30,45.0,-23.0,0.0,top
C31,27.018749,-51.999999,0.0,top
C32,22.0,-51.0,180.0,top
C33,42.0,-46.0,0.0,top
C34,89.0,-69.0,90.0,top
C35,87.0,-59.0,180.0,top
C36,87.0,-69.0,90.0,top
C37,83.0,-63.1,0.0,top
C38,65.5,-36.7,90.0,top
C39,74.2,-48.0,270.0,top
C4,56.0,-92.0,0.0,top
C40,80.4,-48.0,270.0,top
C41,77.0,-48.0,270.0,top
C42,78.0,-32.5,270.0,top
C43,73.8,-41.100001,270.0,top
C44,76.2,-41.1,270.0,top
C45,76.8,-32.5,90.0,top
C46,75.0,-41.1,270.0,top
C47,72.1,-50.8,180.0,top
C48,65.1,-38.2,180.0,top
C49,61.0,-35.95,270.0,top
C5,50.0,-92.0,0.0,top
C50,70.0,-32.0,180.0,top
C51,68.0,-45.0,0.0,top
C52,68.0,-47.1,0.0,top
C53,68.0,-49.2,0.0,top
C54,67.0,-54.0,270.0,top
C55,64.000001,-54.0,270.0,top
C56,61.0,-54.0,270.0,top
C57,58.0,-54.0,270.0,top
C58,61.0,-60.5,180.0,top
C59,24.000001,-108.0,270.0,top
C6,45.0,-69.5,0.0,top
C60,24.0,-103.999999,270.0,top
C61,24.0,-100.0,270.0,top
C62,24.0,-96.0,270.0,top
C63,24.0,-92.0,270.0,top
C64,24.0,-88.0,270.0,top
C65,24.0,-84.0,270.0,top
C66,24.0,-80.000001,270.0,top
C67,24.000001,-76.0,270.0,top
C7,54.0,-63.5,0.0,top
C8,48.0,-69.5,0.0,top
C9,54.0,-60.5,0.0,top
D1,38.0,-115.0,90.0,top
D10,22.0,-80.0,270.0,top
D11,22.0,-76.0,270.0,top
D2,34.0,-115.0,90.0,top
D3,22.0,-108.0,270.0,top
D4,22.0,-104.0,270.0,top
D5,22.0,-99.985,270.0,top
D6,22.0,-96.000001,270.0,top
D7,22.0,-92.000001,270.0,top
D8,22.0,-87.999999,270.0,top
D9,22.0,-84.0,270.0,top
FID1,86.0,-29.0,0.0,top
FID2,29.0,-22.0,0.0,top
FID3,70.0,-75.0,0.0,top
FID4,80.0,-80.0,0.0,top
FID5,65.0,-114.0,0.0,top
FID6,30.0,-115.0,0.0,top
FID7,36.0,-90.0,0.0,top
FID8,23.0,-60.0,0.0,top
H1,25.0,-115.000002,90.0,top
H2,25.0,-25.000001,90.0,top
H3,90.0,-25.000001,90.0,top
H4,90.0,-115.000001,90.0,top
H5,77.5,-55.0,0.0,top
H6,77.5,-95.0,0.0,top
H7,37.5,-95.0,0.0,top
H8,37.5,-55.0,0.0,top
J1,86.0,-36.0,90.0,top
J2,44.0,-28.0,0.0,top
J3,57.5,-22.0,270.0,top
J4,57.5,-116.0,0.0,top
J5,57.5,-27.0,90.0,top
J6,87.0,-73.0,270.0,top
J7,87.0,-78.0,180.0,top
L1,62.0,-45.0,270.0,top
R1,50.5,-75.5,0.0,top
R13,72.0,-32.5,270.0,top
R14,75.6,-32.5,90.0,top
R16,76.8,-30.5,270.0,top
R17,73.8,-38.300001,90.0,top
R18,74.4,-32.5,90.0,top
R19,75.0,-38.3,90.0,top
R20,58.3,-36.0,90.0,top
R21,42.0,-41.0,0.0,top
R22,70.6,-30.5,270.0,top
R23,69.4,-30.5,90.0,top
R24,40.0,-115.0,90.0,top
R25,36.0,-115.0,90.0,top
R3,50.5,-79.5,0.0,top
R4,35.0,-23.0,0.0,top
R5,88.0,-56.0,270.0,top
R6,86.0,-56.0,270.0,top
R7,83.0,-65.1,180.0,top
R8,83.0,-61.1,0.0,top
R9,72.0,-30.5,270.0,top
SW1,40.0,-22.0,0.0,top
SW2,75.0,-22.0,0.0,top
T1,69.74,-35.24,270.0,top
TP1,92.0,-43.0,180.0,top
TP10,45.0,-79.55,0.0,top
TP11,42.5,-82.0,0.0,top
TP12,66.5,-75.0,0.0,top
TP13,45.0,-74.5,0.0,top
TP14,42.5,-77.0,0.0,top
TP15,64.0,-75.0,0.0,top
TP16,66.5,-77.5,0.0,top
TP17,64.0,-77.5,0.0,top
TP18,24.5,-40.0,0.0,bottom
TP19,31.0,-35.0,0.0,bottom
TP2,80.0,-29.0,0.0,top
TP20,34.0,-35.0,0.0,bottom
TP21,22.3,-55.9,0.0,top
TP22,21.4,-51.0,0.0,bottom
TP23,39.0,-27.0,0.0,top
TP24,56.0,-31.0,0.0,top
TP25,89.0,-53.0,270.0,top
TP26,85.0,-53.0,270.0,top
TP27,84.0,-69.0,270.0,top
TP28,81.0,-69.0,270.0,top
TP29,56.0,-47.0,270.0,top
TP3,50.0,-90.0,90.0,top
TP30,56.0,-41.0,270.0,top
TP4,56.0,-90.0,90.0,top
TP5,45.0,-77.0,0.0,top
TP6,42.5,-74.5,0.0,top
TP9,42.5,-79.5,0.0,top
U1,86.0,-45.0,0.0,top
U10,29.79,-38.9,90.0,top
U11,87.0,-63.0,180.0,top
U12,70.0,-38.0,0.0,top
U2,49.0,-86.0,90.0,top
U3,56.0,-95.0,270.0,top
U4,50.0,-95.0,270.0,top
U5,57.5,-74.95,0.0,top
U6,32.0,-72.0,0.0,top
U7,32.0,-78.0,0.0,top
U8,32.0,-84.0,0.0,top
U9,27.018749,-54.999999,270.0,top
